Maak nog korrekte opskrifte hier
2020-08-23 17:31:51.637050,233.6 49.9 233.6 49.9 0210 0139 004 419 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:32:22.172406,233.1 50.0 233.1 50.0 0209 0141 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:32:52.715780,233.3 50.1 233.3 50.1 0209 0140 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:33:23.259133,233.2 50.1 233.2 50.1 0209 0138 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:33:53.802541,233.6 50.1 233.6 50.1 0209 0142 004 419 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:34:24.329942,233.3 50.1 233.3 50.1 0209 0140 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:34:54.873335,233.8 50.1 233.8 50.1 0233 0145 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:35:25.408750,233.5 50.1 233.5 50.1 0209 0138 004 419 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:35:55.944131,234.0 50.1 234.0 50.1 0210 0140 004 418 52.00 000 100 0051 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:36:26.479532,233.0 50.1 233.0 50.1 0209 0138 004 418 52.00 000 100 0050 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:36:57.022955,233.0 50.1 233.0 50.1 0209 0141 004 418 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:37:27.566405,233.0 50.1 232.9 50.1 0209 0136 004 418 52.00 000 100 0049 0000 000.0 00.00 00001 00010101 00 00 00000 110
2020-08-23 17:37:58.109798,233.2 50.1 233.2 50.1 0209 0142 004 418 52.00 000 100 0048 0000 000.0 00.00 00001 00010101 00 00 00000 110
